ecg,emg_cheekbone,ksr,emg_nose,pulse
2.86274505,2.86274505,2.86274505,2.11764717,0.56862748
3.11764717,3.11764717,3.11764717,2.11764717,0.56862748
3.27450991,3.27450991,3.27450991,2.19607854,0.54901963
3.33333325,3.33333325,3.33333325,2.33333325,0.54901963
3.15686274,3.15686274,3.15686274,2.35294127,0.56862748
3.09803915,3.09803915,3.09803915,2.35294127,0.58823532
2.92156863,2.92156863,2.92156863,2.21568632,0.60784316
2.88235283,2.88235283,2.88235283,2.0392158,0.60784316
2.58823538,2.58823538,2.58823538,2.11764717,0.627451
2.43137264,2.43137264,2.43137264,2.21568632,0.60784316
2.25490189,2.25490189,2.25490189,2.33333325,0.60784316
2.35294127,2.35294127,2.35294127,2.33333325,0.60784316
2.41176462,2.41176462,2.41176462,2.27450991,0.60784316
2.58823538,2.58823538,2.58823538,2.09803915,0.60784316
2.60784316,2.60784316,2.60784316,2.07843137,0.60784316
2.29411769,2.29411769,2.29411769,2.15686274,0.56862748
2.13725495,2.13725495,2.13725495,2.29411769,0.60784316
2.15686274,2.15686274,2.15686274,2.33333325,0.60784316
2.41176462,2.41176462,2.41176462,2.31372547,0.58823532
2.54901958,2.54901958,2.54901958,2.2352941,0.60784316
2.43137264,2.43137264,2.43137264,2.13725495,0.60784316
2.27450991,2.27450991,2.27450991,2.21568632,0.58823532
2.29411769,2.29411769,2.29411769,2.37254906,0.64705884
2.19607854,2.19607854,2.19607854,2.43137264,0.64705884
2.29411769,2.29411769,2.29411769,2.35294127,0.64705884
2.47058821,2.47058821,2.47058821,2.25490189,0.66666669
2.47058821,2.47058821,2.47058821,2.13725495,0.68627453
2.17647052,2.17647052,2.17647052,2.17647052,0.68627453
2.0392158,2.0392158,2.0392158,2.29411769,0.70588237
1.94117641,1.94117641,1.94117641,2.41176462,0.70588237
2.05882359,2.05882359,2.05882359,2.45098042,0.72549021
2.2352941,2.2352941,2.2352941,2.41176462,0.7647059
2.35294127,2.35294127,2.35294127,2.21568632,0.78431374
2.31372547,2.31372547,2.31372547,2.15686274,0.80392158
2.11764717,2.11764717,2.11764717,2.25490189,0.80392158
1.94117641,1.94117641,1.94117641,2.37254906,0.84313726
1.96078432,1.96078432,1.96078432,2.47058821,0.82352942
2.17647052,2.17647052,2.17647052,2.47058821,0.86274511
2.35294127,2.35294127,2.35294127,2.37254906,0.84313726
2.35294127,2.35294127,2.35294127,2.21568632,0.86274511
2.2352941,2.2352941,2.2352941,2.17647052,0.84313726
2.09803915,2.09803915,2.09803915,2.33333325,0.84313726
1.88235295,1.88235295,1.88235295,2.47058821,0.86274511
2.01960778,2.01960778,2.01960778,2.45098042,0.86274511
2.2352941,2.2352941,2.2352941,2.45098042,0.84313726
2.33333325,2.33333325,2.33333325,2.21568632,0.88235295
2.29411769,2.29411769,2.29411769,2.29411769,0.88235295
2.09803915,2.09803915,2.09803915,2.37254906,0.90196079
1.96078432,1.96078432,1.96078432,2.50980401,0.90196079
1.84313726,1.84313726,1.84313726,2.50980401,0.92156863
2.29411769,2.29411769,2.29411769,2.47058821,0.94117647
2.29411769,2.29411769,2.29411769,2.29411769,0.94117647
2.39215684,2.39215684,2.39215684,2.17647052,0.96078432
2.27450991,2.27450991,2.27450991,2.25490189,0.96078432
2.0392158,2.0392158,2.0392158,2.39215684,0.98039216
