ecg,emg_cheekbone,ksr,emg_nose,pulse
2.64705873,2.64705873,2.64705873,2.58823538,1.31372547
2.05882359,2.05882359,2.05882359,2.52941179,1.31372547
2.05882359,2.05882359,2.05882359,2.64705873,1.29411769
2.11764717,2.11764717,2.11764717,2.70588231,1.31372547
2.62745094,2.62745094,2.62745094,2.62745094,1.31372547
2.82352948,2.82352948,2.82352948,2.56862736,1.27450979
2.80392146,2.80392146,2.80392146,2.58823538,1.29411769
2.80392146,2.80392146,2.80392146,2.58823538,1.27450979
2.90196085,2.90196085,2.90196085,2.64705873,1.29411769
3.62745094,3.62745094,3.62745094,2.72549009,1.27450979
4.45098019,4.45098019,4.45098019,2.74509811,1.29411769
4.96078444,4.96078444,4.96078444,2.70588231,1.25490201
4.98039198,4.98039198,4.98039198,2.58823538,1.27450979
5.0,5.0,5.0,2.62745094,1.25490201
4.98039198,4.98039198,4.98039198,2.70588231,1.25490201
4.92156839,4.92156839,4.92156839,2.78431368,1.25490201
4.96078444,4.96078444,4.96078444,2.80392146,1.25490201
4.27450991,4.27450991,4.27450991,2.78431368,1.25490201
3.39215684,3.39215684,3.39215684,2.74509811,1.25490201
2.43137264,2.43137264,2.43137264,2.68627453,1.27450979
1.43137252,1.43137252,1.43137252,2.64705873,1.25490201
1.35294116,1.35294116,1.35294116,2.68627453,1.25490201
1.45098042,1.45098042,1.45098042,2.66666675,1.25490201
1.88235295,1.88235295,1.88235295,2.62745094,1.2352941
1.94117641,1.94117641,1.94117641,2.58823538,1.25490201
1.9803921,1.9803921,1.9803921,2.62745094,1.2352941
1.41176474,1.41176474,1.41176474,2.62745094,1.25490201
1.43137252,1.43137252,1.43137252,2.62745094,1.2352941
1.39215684,1.39215684,1.39215684,2.62745094,1.25490201
1.66666663,1.66666663,1.66666663,2.64705873,1.25490201
2.05882359,2.05882359,2.05882359,2.60784316,1.2352941
1.96078432,1.96078432,1.96078432,2.54901958,1.25490201
1.60784316,1.60784316,1.60784316,2.56862736,1.2352941
1.0196079,1.0196079,1.0196079,2.58823538,1.2352941
0.94117647,0.94117647,0.94117647,2.64705873,1.2352941
1.31372547,1.31372547,1.31372547,2.62745094,1.21568632
1.74509799,1.74509799,1.74509799,2.60784316,1.2352941
2.11764717,2.11764717,2.11764717,2.54901958,1.2352941
1.90196073,1.90196073,1.90196073,2.50980401,1.2352941
1.7647059,1.7647059,1.7647059,2.60784316,1.2352941
1.31372547,1.31372547,1.31372547,2.66666675,1.21568632
1.54901958,1.54901958,1.54901958,2.68627453,1.2352941
2.35294127,2.35294127,2.35294127,2.70588231,1.21568632
2.45098042,2.45098042,2.45098042,2.62745094,1.21568632
2.11764717,2.11764717,2.11764717,2.62745094,1.2352941
1.60784316,1.60784316,1.60784316,2.62745094,1.2352941
1.58823526,1.58823526,1.58823526,2.66666675,1.2352941
